City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,kapoeta,4.7717,33.5903,36.06,15,92,8.75,SS,1674293934
242,zeya,53.75,127.2667,-39.89,98,33,1.54,RU,1674293936
243,deputatskiy,69.3,139.9,-33.85,90,74,3.4,RU,1674293937
244,alexandria,31.2156,29.9553,18.12,61,41,2.92,EG,1674293883
245,tatarsk,55.219,75.9828,-18.72,91,94,3.94,RU,1674293939
246,makakilo city,21.3469,-158.0858,25.18,73,20,6.17,US,1674293940
247,yerbogachen,61.2767,108.0108,-42.85,100,95,0.95,RU,1674293941
248,sompeta,18.9333,84.6,26.23,65,23,4.61,IN,1674293942
249,tchibanga,-2.85,11.0333,25.91,80,100,0.71,GA,1674293942
250,usinsk,65.9939,57.5281,-3.61,97,100,3.9,RU,1674293943
251,rafai,4.95,23.9167,36.82,13,100,2.35,CF,1674293944
252,birao,10.2849,22.7882,34.2,9,9,4.8,CF,1674293945
253,burnie,-41.0667,145.9167,17.75,78,34,2.32,AU,1674293945
254,hofn,64.2539,-15.2082,7.39,90,100,11.09,IS,1674293946
255,anadyr,64.75,177.4833,-33.72,73,0,6.0,RU,1674293947
256,abu zabad,12.35,29.25,31.63,10,52,7.78,SD,1674293948
257,shubarshi,48.5872,57.1869,-4.39,73,7,3.16,KZ,1674293949
258,evensk,61.95,159.2333,-29.48,76,17,5.62,RU,1674293949
259,teguise,29.0605,-13.564,16.12,68,75,6.69,ES,1674293950
260,boyolangu,-8.1181,111.8935,26.04,86,91,3.68,ID,1674293944
261,ucluelet,48.9329,-125.5528,7.83,87,100,0.89,CA,1674293951
262,wewak,-3.5534,143.6268,26.89,81,93,4.52,PG,1674293952
263,talnakh,69.4865,88.3972,-30.22,77,60,5.05,RU,1674293953
264,bambous virieux,-20.3428,57.7575,29.14,70,75,3.6,MU,1674293954
265,nouakchott,18.0858,-15.9785,14.96,57,0,5.19,MR,1674293954
266,vestmannaeyjar,63.4427,-20.2734,6.55,93,20,5.14,IS,1674293955
267,sharjah,25.3573,55.4033,24.99,33,0,2.57,AE,1674293734
268,bayonet point,28.3267,-82.6834,17.75,79,98,4.57,US,1674293957
269,chapais,49.7834,-74.8492,-27.12,100,96,0.8,CA,1674293957
270,ko samui,9.5357,99.9357,30.95,62,20,5.14,TH,1674293958
271,luocheng,29.3848,104.0286,9.04,52,100,2.25,CN,1674293959
272,narsaq,60.9167,-46.05,-15.88,73,2,3.55,GL,1674293960
273,victor harbor,-35.5667,138.6167,17.78,80,1,1.34,AU,1674293961
274,nizhneangarsk,55.7833,109.55,-33.53,85,68,2.53,RU,1674293961
275,oktyabrskiy,54.4815,53.471,-8.59,78,80,2.47,RU,1674293962
276,port maria,18.3685,-76.8895,23.98,84,55,3.6,JM,1674293963
277,athabasca,54.7169,-113.2854,-2.77,92,100,2.96,CA,1674293759
278,port hedland,-20.3167,118.5667,32.03,58,55,5.66,AU,1674293964
279,chabahar,25.2919,60.643,18.93,32,0,1.51,IR,1674293965
280,gimli,50.6336,-96.9907,-10.99,92,62,2.06,CA,1674293966
281,walvis bay,-22.9575,14.5053,21.51,72,30,5.08,NA,1674293967
282,lavrentiya,65.5833,-171.0,-34.33,89,20,3.47,RU,1674293968
283,westport,41.1415,-73.3579,4.3,69,100,3.13,US,1674293969
284,saint-philippe,-21.3585,55.7679,30.77,83,100,5.28,RE,1674293970
